[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         13158080 function calls (13139699 primitive calls) in 13.799 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.004    0.001    0.006    0.001 functions.py:74(init_gap)
      116    0.001    0.000    0.006    0.000 decorator.py:87(__init__)
        1    0.000    0.000    0.006    0.006 history.py:1(<module>)
        1    0.000    0.000    0.006    0.006 depends.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _process_win32.py:4(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:10(<module>)
        1    0.000    0.000    0.005    0.005 execution.py:2(<module>)
        7    0.000    0.000    0.005    0.001 __init__.py:4(<module>)
     3010    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFE475E6BA0}
       48    0.000    0.000    0.005    0.000 __init__.py:1813(get_metadata_lines)
      934    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
       14    0.000    0.000    0.005    0.000 six.py:91(__get__)
      240    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.005    0.005 parser.py:25(<module>)
       48    0.001    0.000    0.005    0.000 __init__.py:1796(get_metadata)
        1    0.000    0.000    0.005    0.005 py33compat.py:1(<module>)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
    14708    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.005    0.005 c_parser.py:9(<module>)
      630    0.000    0.000    0.005    0.000 ntpath.py:219(dirname)
        1    0.000    0.000    0.005    0.005 vt100.py:8(<module>)
       41    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
     4808    0.003    0.000    0.005    0.000 version.py:114(_parse_version_parts)
      103    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        2    0.000    0.000    0.005    0.002 imp.py:330(load_dynamic)
    60435    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:686(_load)
        6    0.000    0.000    0.005    0.001 numeric.py:293(full)
        6    0.004    0.001    0.005    0.001 functions.py:126(alignement_from_backtrack)
        2    0.000    0.000    0.005    0.002 version.py:4(<module>)
        1    0.005    0.005    0.005    0.005 yacctab.py:4(<module>)
        7    0.005    0.001    0.005    0.001 {built-in method numpy.copyto}
        1    0.000    0.000    0.005    0.005 __init__.py:315(__getattr__)
        1    0.000    0.000    0.005    0.005 __init__.py:39(_load_lexers)
38860/36354    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.005    0.005 runner.py:1(<module>)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
     1456    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.005    0.005 type_check.py:3(<module>)
      810    0.001    0.000    0.005    0.000 enum.py:283(__call__)
        1    0.000    0.000    0.004    0.004 __init__.py:31(<module>)
        1    0.000    0.000    0.004    0.004 function.py:1(<module>)
       16    0.000    0.000    0.004    0.000 arrayprint.py:1499(_array_str_implementation)
     2287    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
       19    0.002    0.000    0.004    0.000 enum.py:134(__new__)
       16    0.000    0.000    0.004    0.000 arrayprint.py:463(wrapper)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 functions.py:45(__init__)
      461    0.000    0.000    0.004    0.000 c_lexer.py:76(token)
        1    0.000    0.000    0.004    0.004 context.py:3(<module>)
      480    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
      914    0.004    0.000    0.004    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.004    0.004 html.py:1(<module>)
       12    0.000    0.000    0.004    0.000 enum.py:612(_convert)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
     1085    0.004    0.000    0.004    0.000 version.py:343(_cmpkey)
      461    0.002    0.000    0.004    0.000 lex.py:305(token)
        1    0.000    0.000    0.004    0.004 coroutine.py:1(<module>)
        1    0.000    0.000    0.004    0.004 {built-in method builtins.print}
        1    0.000    0.000    0.004    0.004 arrayprint.py:518(array2string)
        1    0.000    0.000    0.004    0.004 PyColorize.py:30(<module>)
      118    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
      112    0.001    0.000    0.004    0.000 inspect.py:1087(getfullargspec)
        1    0.000    0.000    0.004    0.004 arrayprint.py:480(_array2string)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
        1    0.000    0.000    0.004    0.004 python.py:10(<module>)
      412    0.000    0.000    0.004    0.000 ntpath.py:212(basename)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
       12    0.000    0.000    0.004    0.000 pyparsing.py:4251(__init__)
        2    0.000    0.000    0.004    0.002 display.py:2(<module>)
      471    0.000    0.000    0.004    0.000 pyparsing.py:1167(copy)
        1    0.000    0.000    0.004    0.004 basic.py:1(<module>)
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.004    0.004 arrayprint.py:411(_get_format_function)
        1    0.000    0.000    0.004    0.004 windows_events.py:1(<module>)
        1    0.000    0.000    0.004    0.004 arrayprint.py:367(<lambda>)
        1    0.000    0.000    0.004    0.004 arrayprint.py:834(__init__)
        1    0.003    0.003    0.004    0.004 arrayprint.py:861(fillFormat)
        1    0.000    0.000    0.004    0.004 threading.py:1(<module>)
        1    0.000    0.000    0.004    0.004 inputtransformer2.py:8(<module>)
        1    0.000    0.000    0.004    0.004 basic.py:71(BasicMagics)
        5    0.000    0.000    0.004    0.001 bar.py:451(__next__)
       36    0.000    0.000    0.004    0.000 argparse.py:495(_format_action)
        1    0.000    0.000    0.004    0.004 auto_suggest.py:13(<module>)
        1    0.000    0.000    0.004    0.004 cmd.py:5(<module>)
     3030    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
      408    0.002    0.000    0.003    0.000 __init__.py:683(add)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 Code.py:7(<module>)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1250(setParseAction)
      135    0.000    0.000    0.003    0.000 genericpath.py:27(isfile)
       27    0.000    0.000    0.003    0.000 pyparsing.py:1039(_trim_arity)
      934    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      144    0.001    0.000    0.003    0.000 inspect.py:2196(_signature_from_callable)
        5    0.000    0.000    0.003    0.001 bar.py:549(update)
      821    0.001    0.000    0.003    0.000 ntpath.py:201(splitext)
        1    0.000    0.000    0.003    0.003 build_ext.py:75(run)
       26    0.000    0.000    0.003    0.000 pyparsing.py:1047(extract_stack)
        4    0.000    0.000    0.003    0.001 pyparsing.py:1608(parseString)
        1    0.000    0.000    0.003    0.003 prefilter.py:7(<module>)
        1    0.000    0.000    0.003    0.003 generator.py:27(<module>)
        5    0.000    0.000    0.003    0.001 bar.py:143(update)
        3    0.000    0.000    0.003    0.001 __init__.py:332(__init__)
        2    0.000    0.000    0.003    0.002 __init__.py:423(__getattr__)
        1    0.000    0.000    0.003    0.003 monkey.py:65(patch_all)
        1    0.000    0.000    0.003    0.003 old_build_ext.py:177(run)
        1    0.000    0.000    0.003    0.003 build_ext.py:277(run)
      830    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      494    0.000    0.000    0.003    0.000 re.py:185(sub)
        1    0.000    0.000    0.003    0.003 monkey.py:132(patch_for_msvc_specialized_compiler)
