[[0.82136406 0.        ]
 [0.         0.        ]]
         724932 function calls (722597 primitive calls) in 0.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 enum.py:809(__or__)
       36    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       16    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       36    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        2    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 function_base.py:164(flip)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
    23/10    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      138    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       23    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      146    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      165    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        8    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
    23/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:772(_missing_)
      123    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
