[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 __init__.py:332(__init__)
     1973    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      327    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.001    0.001    0.001    0.001 datetime.py:2106(timezone)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
       11    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        6    0.000    0.000    0.001    0.000 old.py:256(init_t)
      142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       15    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        6    0.001    0.000    0.001    0.000 old.py:253(<listcomp>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:411(_get_format_function)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:367(<lambda>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:834(__init__)
       50    0.000    0.000    0.001    0.000 enum.py:283(__call__)
     1580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       23    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.001    0.001 arrayprint.py:861(fillFormat)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 warnings.py:106(_formatwarnmsg)
        6    0.000    0.000    0.001    0.000 function_base.py:164(flip)
        1    0.000    0.000    0.001    0.001 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 linecache.py:15(getline)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
