[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         54075180 function calls (54056820 primitive calls) in 39.747 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      204    0.000    0.000    0.044    0.000 __init__.py:2193(fixup_namespace_packages)
        2    0.000    0.000    0.043    0.022 api.py:99(cdef)
        2    0.000    0.000    0.043    0.022 api.py:114(_cdef)
        2    0.000    0.000    0.043    0.022 cparser.py:309(parse)
        2    0.000    0.000    0.043    0.022 cparser.py:319(_internal_parse)
        2    0.000    0.000    0.041    0.020 cparser.py:247(_parse)
        3    0.000    0.000    0.041    0.014 __init__.py:3(<module>)
      278    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
      278    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
    15/13    0.000    0.000    0.037    0.003 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        9    0.000    0.000    0.037    0.004 __init__.py:35(load_module)
      728    0.032    0.000    0.032    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.032    0.032 requirements.py:4(<module>)
        1    0.000    0.000    0.031    0.031 defmatrix.py:1(<module>)
       42    0.001    0.000    0.030    0.001 {built-in method builtins.sorted}
       20    0.000    0.000    0.030    0.002 __init__.py:1914(_by_version_descending)
      240    0.000    0.000    0.030    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.030    0.030 defaults.py:6(<module>)
      336    0.029    0.000    0.029    0.000 {built-in method io.open}
      278    0.000    0.000    0.028    0.000 __init__.py:1413(get_metadata_lines)
      278    0.001    0.000    0.028    0.000 __init__.py:1407(get_metadata)
      728    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.027    0.027 base_events.py:14(<module>)
        1    0.000    0.000    0.026    0.026 numeric.py:1(<module>)
      484    0.025    0.000    0.025    0.000 {built-in method nt.listdir}
 2084/240    0.009    0.000    0.024    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.024    0.024 crashhandler.py:8(<module>)
      278    0.004    0.000    0.024    0.000 __init__.py:1521(_get)
        2    0.000    0.000    0.024    0.012 cparser.py:42(_get_parser)
        1    0.000    0.000    0.024    0.024 c_parser.py:21(__init__)
      408    0.001    0.000    0.024    0.000 __init__.py:1929(_by_version)
      582    0.001    0.000    0.023    0.000 __init__.py:1404(has_metadata)
        1    0.000    0.000    0.023    0.023 magic.py:3(<module>)
        6    0.000    0.000    0.023    0.004 __init__.py:10(<module>)
        1    0.000    0.000    0.023    0.023 mouse.py:1(<module>)
        1    0.000    0.000    0.023    0.023 buffer.py:4(<module>)
        1    0.000    0.000    0.023    0.023 Main.py:5(<module>)
        1    0.000    0.000    0.023    0.023 linalg.py:10(<module>)
        1    0.000    0.000    0.022    0.022 ultratb.py:81(<module>)
     2169    0.009    0.000    0.022    0.000 version.py:198(__init__)
        1    0.000    0.000    0.022    0.022 classes.py:5(<module>)
        1    0.000    0.000    0.022    0.022 __init__.py:46(<module>)
      408    0.001    0.000    0.021    0.000 __init__.py:1935(<listcomp>)
     1493    0.001    0.000    0.021    0.000 version.py:24(parse)
        1    0.000    0.000    0.020    0.020 npyio.py:1(<module>)
3060/1823    0.002    0.000    0.020    0.000 __init__.py:2281(yield_lines)
        1    0.000    0.000    0.020    0.020 containers.py:4(<module>)
        1    0.000    0.000    0.020    0.020 dist.py:424(__init__)
       51    0.000    0.000    0.019    0.000 __init__.py:652(<genexpr>)
        1    0.000    0.000    0.019    0.019 code.py:2(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:64(<module>)
      650    0.001    0.000    0.019    0.000 __init__.py:2730(get_entry_map)
   236515    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.018    0.018 controls.py:3(<module>)
        1    0.000    0.000    0.018    0.018 traitlets.py:35(<module>)
      582    0.000    0.000    0.018    0.000 __init__.py:1509(_has)
      204    0.000    0.000    0.018    0.000 __init__.py:2422(parse_map)
        1    0.000    0.000    0.018    0.018 oinspect.py:8(<module>)
      676    0.001    0.000    0.018    0.000 __init__.py:1323(safe_version)
        1    0.000    0.000    0.018    0.018 pyparsing.py:75(<module>)
        1    0.000    0.000    0.017    0.017 request.py:68(<module>)
      777    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        9    0.000    0.000    0.016    0.002 utils.py:1(<module>)
     8962    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        2    0.000    0.000    0.016    0.008 c_parser.py:132(parse)
        2    0.000    0.000    0.016    0.008 yacc.py:323(parse)
        2    0.005    0.002    0.016    0.008 yacc.py:1001(parseopt_notrack)
        1    0.000    0.000    0.016    0.016 __init__.py:41(<module>)
   185195    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 c_lexer.py:58(build)
        1    0.000    0.000    0.015    0.015 lex.py:863(lex)
        1    0.000    0.000    0.015    0.015 application.py:2(<module>)
        1    0.000    0.000    0.014    0.014 lex.py:211(readtab)
      429    0.000    0.000    0.014    0.000 __init__.py:3064(split_sections)
        1    0.000    0.000    0.014    0.014 __init__.py:12(<module>)
        1    0.000    0.000    0.014    0.014 old.py:37(lire_fasta)
       26    0.000    0.000    0.014    0.001 pyparsing.py:2779(__init__)
     1456    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.014    0.014 __init__.py:86(<module>)
        1    0.000    0.000    0.013    0.013 fftpack.py:32(<module>)
      116    0.001    0.000    0.013    0.000 decorator.py:190(create)
      408    0.001    0.000    0.013    0.000 __init__.py:2468(__init__)
      111    0.000    0.000    0.013    0.000 decorator.py:218(decorate)
        1    0.000    0.000    0.013    0.013 __init__.py:39(<module>)
        3    0.000    0.000    0.013    0.004 __init__.py:8(<module>)
        1    0.000    0.000    0.012    0.012 dialogs.py:1(<module>)
      410    0.012    0.000    0.012    0.000 {built-in method nt._isdir}
     1607    0.005    0.000    0.012    0.000 ntpath.py:75(join)
        1    0.000    0.000    0.012    0.012 core.py:7(<module>)
        1    0.000    0.000    0.012    0.012 api.py:39(__init__)
        1    0.000    0.000    0.011    0.011 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.011    0.011 client.py:69(<module>)
        2    0.000    0.000    0.011    0.006 function_base.py:1(<module>)
      277    0.000    0.000    0.011    0.000 function_base.py:431(add_newdoc)
        1    0.000    0.000    0.011    0.011 appdirs.py:9(<module>)
        1    0.000    0.000    0.011    0.011 dist.py:2(<module>)
    17736    0.004    0.000    0.011    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.011    0.011 debugger.py:17(<module>)
     1600    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       95    0.000    0.000    0.011    0.000 decorator.py:236(decorator)
     1084    0.001    0.000    0.011    0.000 version.py:74(__init__)
        1    0.000    0.000    0.010    0.010 polynomial.py:57(<module>)
        1    0.000    0.000    0.010    0.010 Symtab.py:5(<module>)
        3    0.000    0.000    0.010    0.003 importstring.py:4(<module>)
     1484    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.010    0.010 cparser.py:1(<module>)
      103    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        2    0.000    0.000    0.010    0.005 __init__.py:5(<module>)
        1    0.000    0.000    0.010    0.010 base.py:14(<module>)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:201(__call__)
     1084    0.004    0.000    0.010    0.000 version.py:131(_legacy_cmpkey)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:139(construct_parser)
       90    0.000    0.000    0.010    0.000 magic.py:186(magic_deco)
      101    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        2    0.000    0.000    0.010    0.005 specifiers.py:4(<module>)
     4331    0.007    0.000    0.009    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.009    0.009 imports.py:13(<module>)
      756    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.009    0.009 ssl.py:91(<module>)
        1    0.000    0.000    0.009    0.009 py3compat.py:2(<module>)
      840    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.008    0.008 yacc.py:3214(yacc)
