yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       10    0.000    0.000    0.001    0.000 __init__.py:316(namedtuple)
     2573    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 signals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.001    0.001 _datasource.py:228(open)
        1    0.000    0.000    0.001    0.001 _datasource.py:578(open)
        1    0.000    0.000    0.001    0.001 warnings.py:85(_showwarnmsg)
        1    0.000    0.000    0.001    0.001 warnings.py:20(_showwarnmsg_impl)
       18    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2190    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _datasource.py:428(_findfile)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
       32    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      286    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
5130/5052    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
     1853    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.001    0.000 _datasource.py:364(_possible_names)
        3    0.000    0.000    0.001    0.000 _datasource.py:334(_iszip)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.001    0.000 _datasource.py:203(keys)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        6    0.000    0.000    0.001    0.000 _datasource.py:170(_load)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 functions.py:10(lire_fasta)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
